        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00000000e-01,        +4.758881666114e-01,        +1.305880045838e-02,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e-01,        +4.817716379889e-01,        +2.245569852304e-02,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e-01,        +4.890184352790e-01,        +3.473941861702e-02,        +0.000000000000e+00,        +0.000000000000e+00
 1.90000000e-01,        +4.974530394087e-01,        +5.018199079553e-02,        +0.000000000000e+00,        +0.000000000000e+00
 2.20000000e-01,        +5.068014707265e-01,        +6.906624161177e-02,        +0.000000000000e+00,        +0.000000000000e+00
 2.50000000e-01,        +5.166549497543e-01,        +9.163961190646e-02,        +0.000000000000e+00,        +0.000000000000e+00
 2.80000000e-01,        +5.264320631338e-01,        +1.180430051511e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.10000000e-01,        +5.353496929407e-01,        +1.482113172674e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.40000000e-01,        +5.424205227064e-01,        +1.817511720896e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.70000000e-01,        +5.465014662065e-01,        +2.178182988938e-01,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e-01,        +5.464161138315e-01,        +2.550397914667e-01,        +0.000000000000e+00,        +0.000000000000e+00
 4.30000000e-01,        +5.411561024208e-01,        +2.915436454889e-01,        +0.000000000000e+00,        +0.000000000000e+00
 4.60000000e-01,        +5.301274299676e-01,        +3.251480764382e-01,        +0.000000000000e+00,        +0.000000000000e+00
 4.90000000e-01,        +5.133621612692e-01,        +3.537086219257e-01,        +0.000000000000e+00,        +0.000000000000e+00
 5.20000000e-01,        +4.915981077305e-01,        +3.755350050689e-01,        +0.000000000000e+00,        +0.000000000000e+00
 5.50000000e-01,        +4.661694261006e-01,        +3.897271028402e-01,        +0.000000000000e+00,        +0.000000000000e+00
 5.80000000e-01,        +4.387377820752e-01,        +3.962988148269e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.10000000e-01,        +4.109687465736e-01,        +3.960589491984e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.40000000e-01,        +3.842686874779e-01,        +3.903285727703e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.70000000e-01,        +3.596461996391e-01,        +3.806216790057e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.00000000e-01,        +3.376958535542e-01,        +3.683891801001e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.30000000e-01,        +3.186618831589e-01,        +3.548664574456e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.60000000e-01,        +3.025336064007e-01,        +3.410156184412e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.90000000e-01,        +2.891384866368e-01,        +3.275316736146e-01,        +0.000000000000e+00,        +0.000000000000e+00
 8.20000000e-01,        +2.782164209442e-01,        +3.148812871058e-01,        +0.000000000000e+00,        +0.000000000000e+00
 8.50000000e-01,        +2.694716257249e-01,        +3.033516315573e-01,        +0.000000000000e+00,        +0.000000000000e+00
 8.80000000e-01,        +2.626050412611e-01,        +2.930967023890e-01,        +0.000000000000e+00,        +0.000000000000e+00
 9.10000000e-01,        +2.573322857960e-01,        +2.841756968842e-01,        +0.000000000000e+00,        +0.000000000000e+00
 9.40000000e-01,        +2.533919926346e-01,        +2.765823296682e-01,        +0.000000000000e+00,        +0.000000000000e+00
 9.70000000e-01,        +2.505483260272e-01,        +2.702660059579e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.00000000e+00,        +2.485903461155e-01,        +2.651465004259e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.03000000e+00,        +2.473299678274e-01,        +2.611238493799e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.06000000e+00,        +2.465995862198e-01,        +2.580849483545e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.09000000e+00,        +2.462499819502e-01,        +2.559080548802e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.12000000e+00,        +2.461488142664e-01,        +2.544661111300e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.15000000e+00,        +2.461798014789e-01,        +2.536295481303e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.18000000e+00,        +2.462425426365e-01,        +2.532690116533e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.21000000e+00,        +2.462528276425e-01,        +2.532582526652e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.24000000e+00,        +2.461432081185e-01,        +2.534772482605e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.27000000e+00,        +2.458635586615e-01,        +2.538154653040e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+00,        +2.453813523211e-01,        +2.541750580448e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.33000000e+00,        +2.446814084523e-01,        +2.544737154194e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.36000000e+00,        +2.437649433867e-01,        +2.546468541168e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.39000000e+00,        +2.426478547248e-01,        +2.546488926637e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.42000000e+00,        +2.413582817373e-01,        +2.544534319333e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.45000000e+00,        +2.399335873520e-01,        +2.540522902002e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.48000000e+00,        +2.384169833935e-01,        +2.534534713574e-01,        +0.000000000000e+00,        +0.000000000000e+00
