        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 1.00000000e-01,        +1.414213562373e-01,        +2.753202200240e-01,        -4.112593388320e-02
 1.30000000e-01,        +1.414213562373e-01,        +2.699712276373e-01,        -5.305786071760e-02
 1.60000000e-01,        +1.414213562373e-01,        +2.630545596944e-01,        -6.458587175331e-02
 1.90000000e-01,        +1.414213562373e-01,        +2.544734018306e-01,        -7.551257060338e-02
 2.20000000e-01,        +1.414213562373e-01,        +2.441415388329e-01,        -8.557148075804e-02
 2.50000000e-01,        +1.414213562373e-01,        +2.320101930750e-01,        -9.441466964897e-02
 2.80000000e-01,        +1.414213562373e-01,        +2.181064831163e-01,        -1.016077875591e-01
 3.10000000e-01,        +1.414213562373e-01,        +2.025833954361e-01,        -1.066406500071e-01
 3.40000000e-01,        +1.414213562373e-01,        +1.857759142575e-01,        -1.089639958837e-01
 3.70000000e-01,        +1.414213562373e-01,        +1.682492049717e-01,        -1.080622618724e-01
 4.00000000e-01,        +1.414213562373e-01,        +1.508145520433e-01,        -1.035640712974e-01
 4.30000000e-01,        +1.414213562373e-01,        +1.344838291369e-01,        -9.537390764069e-02
 4.60000000e-01,        +1.414213562373e-01,        +1.203439834911e-01,        -8.378433306729e-02
 4.90000000e-01,        +1.414213562373e-01,        +1.093651179172e-01,        -6.951355462465e-02
 5.20000000e-01,        +1.414213562373e-01,        +1.021978123684e-01,        -5.362809697076e-02
 5.50000000e-01,        +1.414213562373e-01,        +9.903744722339e-02,        -3.735867231438e-02
 5.80000000e-01,        +1.414213562373e-01,        +9.961061357072e-02,        -2.187195816605e-02
 6.10000000e-01,        +1.414213562373e-01,        +1.032810172560e-01,        -8.081583093095e-03
 6.40000000e-01,        +1.414213562373e-01,        +1.092203053532e-01,        +3.446190204478e-03
 6.70000000e-01,        +1.414213562373e-01,        +1.165757937310e-01,        +1.248767431929e-02
 7.00000000e-01,        +1.414213562373e-01,        +1.245898670856e-01,        +1.909135995563e-02
 7.30000000e-01,        +1.414213562373e-01,        +1.326594648690e-01,        +2.348449206571e-02
 7.60000000e-01,        +1.414213562373e-01,        +1.403473686025e-01,        +2.598760335759e-02
 7.90000000e-01,        +1.414213562373e-01,        +1.473647546343e-01,        +2.695107678767e-02
 8.20000000e-01,        +1.414213562373e-01,        +1.535419144154e-01,        +2.671522416110e-02
 8.50000000e-01,        +1.414213562373e-01,        +1.587979586925e-01,        +2.558923297577e-02
 8.80000000e-01,        +1.414213562373e-01,        +1.631147971320e-01,        +2.384287505269e-02
 9.10000000e-01,        +1.414213562373e-01,        +1.665170397148e-01,        +2.170570822889e-02
 9.40000000e-01,        +1.414213562373e-01,        +1.690575478250e-01,        +1.937000711447e-02
