        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 1.00000000e-01,        -8.325499535234e-02,        -1.707390905557e+01
 1.30000000e-01,        -1.456889958505e-01,        -2.242796903396e+01
 1.60000000e-01,        -2.305491319410e-01,        -2.796780261404e+01
 1.90000000e-01,        -3.425956859206e-01,        -3.374075209162e+01
 2.20000000e-01,        -4.881032603270e-01,        -3.979613161147e+01
 2.50000000e-01,        -6.751438359494e-01,        -4.618469556382e+01
 2.80000000e-01,        -9.138762880793e-01,        -5.295752372061e+01
 3.10000000e-01,        -1.216786445351e+00,        -6.016426282506e+01
 3.40000000e-01,        -1.598788681655e+00,        -6.785087481329e+01
 3.70000000e-01,        -2.077068817135e+00,        -7.605746952073e+01
 4.00000000e-01,        -2.670537111553e+00,        -8.481748906576e+01
 4.30000000e-01,        -3.398789818858e+00,        -9.416038504038e+01
 4.60000000e-01,        -4.280542856131e+00,        -1.041207130590e+02
 4.90000000e-01,        -5.331518942999e+00,        -1.147568317853e+02
 5.20000000e-01,        -6.561524905249e+00,        -1.261817053945e+02
 5.50000000e-01,        -7.969581142039e+00,        -1.386059105392e+02
 5.80000000e-01,        -9.534032475437e+00,        -1.523851177377e+02
 6.10000000e-01,        -1.119187138334e+01,        -1.680365068816e+02
 6.40000000e-01,        -1.280343981778e+01,        +1.738913964778e+02
 6.70000000e-01,        -1.412713444665e+01,        +1.533153552171e+02
 7.00000000e-01,        -1.489603096045e+01,        +1.314003229698e+02
 7.30000000e-01,        -1.502868391148e+01,        +1.104601753237e+02
 7.60000000e-01,        -1.470756431324e+01,        +9.236651150885e+01
 7.90000000e-01,        -1.419254863733e+01,        +7.756386831539e+01
 8.20000000e-01,        -1.366223036020e+01,        +6.559645155792e+01
 8.50000000e-01,        -1.320229183794e+01,        +5.582117634058e+01
 8.80000000e-01,        -1.284377637617e+01,        +4.770250588930e+01
 9.10000000e-01,        -1.259269855889e+01,        +4.085711770652e+01
 9.40000000e-01,        -1.244522949313e+01,        +3.502633630558e+01
 9.70000000e-01,        -1.239433414805e+01,        +3.004224251362e+01
 1.00000000e+00,        -1.243230280879e+01,        +2.580220385459e+01
 1.03000000e+00,        -1.255139765659e+01,        +2.225200213117e+01
 1.06000000e+00,        -1.274358233264e+01,        +1.937496342752e+01
 1.09000000e+00,        -1.299971514058e+01,        +1.718446656540e+01
 1.12000000e+00,        -1.330833983295e+01,        +1.571738656343e+01
 1.15000000e+00,        -1.365415562733e+01,        +1.502585586815e+01
 1.18000000e+00,        -1.401636906011e+01,        +1.516429670039e+01
 1.21000000e+00,        -1.436746208550e+01,        +1.616869719636e+01
 1.24000000e+00,        -1.467342798546e+01,        +1.802719355547e+01
 1.27000000e+00,        -1.489689464470e+01,        +2.064728476341e+01
 1.30000000e+00,        -1.500394214556e+01,        +2.383493928917e+01
 1.33000000e+00,        -1.497311208896e+01,        +2.730620800677e+01
 1.36000000e+00,        -1.480225850634e+01,        +3.073955846442e+01
 1.39000000e+00,        -1.450885381378e+01,        +3.384866667113e+01
 1.42000000e+00,        -1.412349667484e+01,        +3.643817103321e+01
 1.45000000e+00,        -1.368076459240e+01,        +3.841945177240e+01
 1.48000000e+00,        -1.321193961763e+01,        +3.979236911866e+01
 1.51000000e+00,        -1.274139964226e+01,        +4.061337011125e+01
 1.54000000e+00,        -1.228601231316e+01,        +4.096622457756e+01
 1.57000000e+00,        -1.185611192567e+01,        +4.094169782327e+01
 1.60000000e+00,        -1.145696126503e+01,        +4.062582351392e+01
 1.63000000e+00,        -1.109013525378e+01,        +4.009416796092e+01
 1.66000000e+00,        -1.075463808713e+01,        +3.940956499025e+01
 1.69000000e+00,        -1.044775145963e+01,        +3.862158309001e+01
 1.72000000e+00,        -1.016567873840e+01,        +3.776673301210e+01
 1.75000000e+00,        -9.904059776744e+00,        +3.686895676953e+01
 1.78000000e+00,        -9.658417080915e+00,        +3.594027856631e+01
 1.81000000e+00,        -9.424570735780e+00,        +3.498169646931e+01
 1.84000000e+00,        -9.199032701956e+00,        +3.398448255738e+01
 1.87000000e+00,        -8.979364829839e+00,        +3.293204972976e+01
 1.90000000e+00,        -8.764464516595e+00,        +3.180244251366e+01
 1.93000000e+00,        -8.554733825593e+00,        +3.057134129374e+01
 1.96000000e+00,        -8.352096888404e+00,        +2.921528657897e+01
 1.99000000e+00,        -8.159855979705e+00,        +2.771470301597e+01
 2.02000000e+00,        -7.982411243497e+00,        +2.605629222060e+01
 2.05000000e+00,        -7.824900404429e+00,        +2.423448696015e+01
 2.08000000e+00,        -7.692831498716e+00,        +2.225187973495e+01
 2.11000000e+00,        -7.591778448933e+00,        +2.011878233584e+01
 2.14000000e+00,        -7.527188892976e+00,        +1.785226517253e+01
 2.17000000e+00,        -7.504324280988e+00,        +1.547512384745e+01
 2.20000000e+00,        -7.528322954288e+00,        +1.301522685481e+01
 2.23000000e+00,        -7.604353568071e+00,        +1.050564707457e+01
 2.26000000e+00,        -7.737809461797e+00,        +7.985918303258e+00
 2.29000000e+00,        -7.934479757304e+00,        +5.504727164148e+00
 2.32000000e+00,        -8.200610452513e+00,        +3.124370963026e+00
 2.35000000e+00,        -8.542723070229e+00,        +9.273697777363e-01
 2.38000000e+00,        -8.966964742861e+00,        -9.743686306190e-01
 2.41000000e+00,        -9.477583482952e+00,        -2.427738932101e+00
 2.44000000e+00,        -1.007381092378e+01,        -3.225270236513e+00
 2.47000000e+00,        -1.074401676057e+01,        -3.096231062451e+00
 2.50000000e+00,        -1.145590062508e+01,        -1.718686926077e+00
 2.53000000e+00,        -1.214346730893e+01,        +1.210171387982e+00
 2.56000000e+00,        -1.269949824114e+01,        +5.795116700883e+00
 2.59000000e+00,        -1.299590052871e+01,        +1.167835108101e+01
 2.62000000e+00,        -1.294734343570e+01,        +1.793759370315e+01
