        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 1.00000000e-01,        +7.071067811865e+00,        +1.376601100120e+01,        -2.056296694160e+00
 1.30000000e-01,        +7.071067811865e+00,        +1.349856138187e+01,        -2.652893035880e+00
 1.60000000e-01,        +7.071067811865e+00,        +1.315272798472e+01,        -3.229293587665e+00
 1.90000000e-01,        +7.071067811865e+00,        +1.272367009153e+01,        -3.775628530169e+00
 2.20000000e-01,        +7.071067811865e+00,        +1.220707694165e+01,        -4.278574037902e+00
 2.50000000e-01,        +7.071067811865e+00,        +1.160050965375e+01,        -4.720733482449e+00
 2.80000000e-01,        +7.071067811865e+00,        +1.090532415581e+01,        -5.080389377957e+00
 3.10000000e-01,        +7.071067811865e+00,        +1.012916977180e+01,        -5.332032500355e+00
 3.40000000e-01,        +7.071067811865e+00,        +9.288795712873e+00,        -5.448199794185e+00
 3.70000000e-01,        +7.071067811865e+00,        +8.412460248587e+00,        -5.403113093619e+00
 4.00000000e-01,        +7.071067811865e+00,        +7.540727602165e+00,        -5.178203564872e+00
 4.30000000e-01,        +7.071067811865e+00,        +6.724191456845e+00,        -4.768695382034e+00
 4.60000000e-01,        +7.071067811865e+00,        +6.017199174555e+00,        -4.189216653365e+00
 4.90000000e-01,        +7.071067811865e+00,        +5.468255895861e+00,        -3.475677731232e+00
 5.20000000e-01,        +7.071067811865e+00,        +5.109890618421e+00,        -2.681404848538e+00
 5.50000000e-01,        +7.071067811865e+00,        +4.951872361169e+00,        -1.867933615719e+00
 5.80000000e-01,        +7.071067811865e+00,        +4.980530678536e+00,        -1.093597908303e+00
 6.10000000e-01,        +7.071067811865e+00,        +5.164050862798e+00,        -4.040791546548e-01
 6.40000000e-01,        +7.071067811865e+00,        +5.461015267661e+00,        +1.723095102239e-01
 6.70000000e-01,        +7.071067811865e+00,        +5.828789686551e+00,        +6.243837159644e-01
 7.00000000e-01,        +7.071067811865e+00,        +6.229493354279e+00,        +9.545679977817e-01
 7.30000000e-01,        +7.071067811865e+00,        +6.632973243451e+00,        +1.174224603285e+00
 7.60000000e-01,        +7.071067811865e+00,        +7.017368430124e+00,        +1.299380167880e+00
 7.90000000e-01,        +7.071067811865e+00,        +7.368237731715e+00,        +1.347553839384e+00
 8.20000000e-01,        +7.071067811865e+00,        +7.677095720768e+00,        +1.335761208055e+00
 8.50000000e-01,        +7.071067811865e+00,        +7.939897934626e+00,        +1.279461648788e+00
 8.80000000e-01,        +7.071067811865e+00,        +8.155739856600e+00,        +1.192143752635e+00
 9.10000000e-01,        +7.071067811865e+00,        +8.325851985738e+00,        +1.085285411445e+00
 9.40000000e-01,        +7.071067811865e+00,        +8.452877391252e+00,        +9.685003557236e-01
 9.70000000e-01,        +7.071067811865e+00,        +8.540379406425e+00,        +8.497524343180e-01
 1.00000000e+00,        +7.071067811865e+00,        +8.592519235855e+00,        +7.355705550701e-01
 1.03000000e+00,        +7.071067811865e+00,        +8.613849018054e+00,        +6.312313903072e-01
 1.06000000e+00,        +7.071067811865e+00,        +8.609176033702e+00,        +5.408980663475e-01
 1.09000000e+00,        +7.071067811865e+00,        +8.583464143904e+00,        +4.677155930524e-01
 1.12000000e+00,        +7.071067811865e+00,        +8.541747835765e+00,        +4.138710948616e-01
 1.15000000e+00,        +7.071067811865e+00,        +8.489042367047e+00,        +3.806310513480e-01
 1.18000000e+00,        +7.071067811865e+00,        +8.430240761945e+00,        +3.683697958611e-01
 1.21000000e+00,        +7.071067811865e+00,        +8.369995081508e+00,        +3.766038280268e-01
 1.24000000e+00,        +7.071067811865e+00,        +8.312585469514e+00,        +4.040450945017e-01
 1.27000000e+00,        +7.071067811865e+00,        +8.261785635698e+00,        +4.486832574139e-01
 1.30000000e+00,        +7.071067811865e+00,        +8.220737133575e+00,        +5.079022665968e-01
 1.33000000e+00,        +7.071067811865e+00,        +8.191846433185e+00,        +5.786307782079e-01
 1.36000000e+00,        +7.071067811865e+00,        +8.176717997206e+00,        +6.575199550334e-01
 1.39000000e+00,        +7.071067811865e+00,        +8.176133369877e+00,        +7.411369731116e-01
 1.42000000e+00,        +7.071067811865e+00,        +8.190081210810e+00,        +8.261591151777e-01
 1.45000000e+00,        +7.071067811865e+00,        +8.217837201310e+00,        +9.095522878995e-01
 1.48000000e+00,        +7.071067811865e+00,        +8.258086962509e+00,        +9.887192662059e-01
 1.51000000e+00,        +7.071067811865e+00,        +8.309080585826e+00,        +1.061606503356e+00
 1.54000000e+00,        +7.071067811865e+00,        +8.368804748762e+00,        +1.126763106217e+00
 1.57000000e+00,        +7.071067811865e+00,        +8.435157833195e+00,        +1.183350574192e+00
 1.60000000e+00,        +7.071067811865e+00,        +8.506114670108e+00,        +1.231106277206e+00
 1.63000000e+00,        +7.071067811865e+00,        +8.579869885854e+00,        +1.270266863833e+00
 1.66000000e+00,        +7.071067811865e+00,        +8.654951609222e+00,        +1.301459697898e+00
 1.69000000e+00,        +7.071067811865e+00,        +8.730299907936e+00,        +1.325571222503e+00
 1.72000000e+00,        +7.071067811865e+00,        +8.805306387798e+00,        +1.343601276609e+00
 1.75000000e+00,        +7.071067811865e+00,        +8.879812834491e+00,        +1.356512357999e+00
 1.78000000e+00,        +7.071067811865e+00,        +8.954067829812e+00,        +1.365083095098e+00
 1.81000000e+00,        +7.071067811865e+00,        +9.028641402741e+00,        +1.369776024683e+00
 1.84000000e+00,        +7.071067811865e+00,        +9.104299610592e+00,        +1.370631120417e+00
 1.87000000e+00,        +7.071067811865e+00,        +9.181844110842e+00,        +1.367197893579e+00
 1.90000000e+00,        +7.071067811865e+00,        +9.261926630500e+00,        +1.358519323286e+00
 1.93000000e+00,        +7.071067811865e+00,        +9.344854476725e+00,        +1.343179035423e+00
 1.96000000e+00,        +7.071067811865e+00,        +9.430409585524e+00,        +1.319417762002e+00
 1.99000000e+00,        +7.071067811865e+00,        +9.517707774124e+00,        +1.285315710408e+00
 2.02000000e+00,        +7.071067811865e+00,        +9.605124102518e+00,        +1.239025234663e+00
 2.05000000e+00,        +7.071067811865e+00,        +9.690302661213e+00,        +1.179026299423e+00
 2.08000000e+00,        +7.071067811865e+00,        +9.770255145357e+00,        +1.104370069746e+00
 2.11000000e+00,        +7.071067811865e+00,        +9.841535800530e+00,        +1.014877256205e+00
 2.14000000e+00,        +7.071067811865e+00,        +9.900466425274e+00,        +9.112683778520e-01
 2.17000000e+00,        +7.071067811865e+00,        +9.943379411944e+00,        +7.952196816857e-01
 2.20000000e+00,        +7.071067811865e+00,        +9.966851549768e+00,        +6.693550017875e-01
 2.23000000e+00,        +7.071067811865e+00,        +9.967914497924e+00,        +5.371941243841e-01
 2.26000000e+00,        +7.071067811865e+00,        +9.944244222237e+00,        +4.030785419776e-01
 2.29000000e+00,        +7.071067811865e+00,        +9.894345138551e+00,        +2.720857814187e-01
 2.32000000e+00,        +7.071067811865e+00,        +9.817750271773e+00,        +1.499267696488e-01
 2.35000000e+00,        +7.071067811865e+00,        +9.715253552834e+00,        +4.280161853978e-02
 2.38000000e+00,        +7.071067811865e+00,        +9.589173549427e+00,        -4.282688555122e-02
 2.41000000e+00,        +7.071067811865e+00,        +9.443620399862e+00,        -1.005900944842e-01
 2.44000000e+00,        +7.071067811865e+00,        +9.284702790054e+00,        -1.247408063066e-01
 2.47000000e+00,        +7.071067811865e+00,        +9.120576336049e+00,        -1.108622016206e-01
 2.50000000e+00,        +7.071067811865e+00,        +8.961210329805e+00,        -5.671513626282e-02
 2.53000000e+00,        +7.071067811865e+00,        +8.817753478812e+00,        +3.689806516658e-02
 2.56000000e+00,        +7.071067811865e+00,        +8.701432866747e+00,        +1.654660551736e-01
 2.59000000e+00,        +7.071067811865e+00,        +8.622045133763e+00,        +3.205808487889e-01
 2.62000000e+00,        +7.071067811865e+00,        +8.586294351249e+00,        +4.905029789659e-01
 2.65000000e+00,        +7.071067811865e+00,        +8.596433574983e+00,        +6.615852498077e-01
 2.68000000e+00,        +7.071067811865e+00,        +8.649729896102e+00,        +8.203281809112e-01
 2.71000000e+00,        +7.071067811865e+00,        +8.739053674513e+00,        +9.554901801126e-01
 2.74000000e+00,        +7.071067811865e+00,        +8.854434116676e+00,        +1.059569417513e+00
 2.77000000e+00,        +7.071067811865e+00,        +8.985007131025e+00,        +1.129247537858e+00
 2.80000000e+00,        +7.071067811865e+00,        +9.120698230124e+00,        +1.164865817651e+00
 2.83000000e+00,        +7.071067811865e+00,        +9.253249276373e+00,        +1.169357231903e+00
 2.86000000e+00,        +7.071067811865e+00,        +9.376565612897e+00,        +1.147101859022e+00
 2.89000000e+00,        +7.071067811865e+00,        +9.486585531810e+00,        +1.102996399745e+00
 2.92000000e+00,        +7.071067811865e+00,        +9.580905978452e+00,        +1.041827938338e+00
 2.95000000e+00,        +7.071067811865e+00,        +9.658331745272e+00,        +9.679294608889e-01
 2.98000000e+00,        +7.071067811865e+00,        +9.718447590319e+00,        +8.850630338454e-01
 3.01000000e+00,        +7.071067811865e+00,        +9.761277129964e+00,        +7.964757105123e-01
 3.04000000e+00,        +7.071067811865e+00,        +9.787079369567e+00,        +7.050677893273e-01
 3.07000000e+00,        +7.071067811865e+00,        +9.796320124699e+00,        +6.135887284514e-01
 3.10000000e+00,        +7.071067811865e+00,        +9.789809325205e+00,        +5.247398255586e-01
 3.13000000e+00,        +7.071067811865e+00,        +9.768893016728e+00,        +4.410640246654e-01
 3.16000000e+00,        +7.071067811865e+00,        +9.735482762452e+00,        +3.646215158098e-01
 3.19000000e+00,        +7.071067811865e+00,        +9.691749773876e+00,        +2.966705415614e-01
