        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00000000e-01,        +4.758882214019e-01,        +1.306137527538e-02,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e-01,        +4.864539140714e-01,        +3.030494510595e-02,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e-01,        +5.004723966537e-01,        +5.607331377170e-02,        +0.000000000000e+00,        +0.000000000000e+00
 2.50000000e-01,        +5.166418640349e-01,        +9.162885672110e-02,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e-01,        +5.325256375505e-01,        +1.377435511004e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.50000000e-01,        +5.441908724752e-01,        +1.935510098634e-01,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e-01,        +5.464703213753e-01,        +2.550667882455e-01,        +0.000000000000e+00,        +0.000000000000e+00
 4.50000000e-01,        +5.345500247791e-01,        +3.144708527724e-01,        +0.000000000000e+00,        +0.000000000000e+00
 5.00000000e-01,        +5.067273652736e-01,        +3.618963664007e-01,        +0.000000000000e+00,        +0.000000000000e+00
 5.50000000e-01,        +4.662953617274e-01,        +3.898473818222e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.00000000e-01,        +4.202794879536e-01,        +3.969351725434e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.50000000e-01,        +3.758764781017e-01,        +3.875473777939e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.00000000e-01,        +3.377463604017e-01,        +3.684403364538e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.50000000e-01,        +3.076104959107e-01,        +3.456342419297e-01,        +0.000000000000e+00,        +0.000000000000e+00
 8.00000000e-01,        +2.852171072892e-01,        +3.231822277457e-01,        +0.000000000000e+00,        +0.000000000000e+00
 8.50000000e-01,        +2.694165302910e-01,        +3.032957668063e-01,        +0.000000000000e+00,        +0.000000000000e+00
 9.00000000e-01,        +2.588417438702e-01,        +2.869140502012e-01,        +0.000000000000e+00,        +0.000000000000e+00
 9.50000000e-01,        +2.522174078270e-01,        +2.742248740373e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.00000000e+00,        +2.484532296215e-01,        +2.650106996115e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.05000000e+00,        +2.466436601471e-01,        +2.588450762915e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+00,        +2.460409575406e-01,        +2.551951988783e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.15000000e+00,        +2.460316823862e-01,        +2.534769783104e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+00,        +2.461264514306e-01,        +2.530930667085e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.25000000e+00,        +2.459618225281e-01,        +2.534701208827e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+00,        +2.453070558849e-01,        +2.540997980084e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.35000000e+00,        +2.440660986320e-01,        +2.545788034182e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+00,        +2.422667481096e-01,        +2.546382816527e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.45000000e+00,        +2.400340334931e-01,        +2.541533952944e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+00,        +2.375511311443e-01,        +2.531293966222e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.55000000e+00,        +2.350155782467e-01,        +2.516676970115e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+00,        +2.325994431119e-01,        +2.499206440073e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.65000000e+00,        +2.304200601039e-01,        +2.480451066549e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.70000000e+00,        +2.285250491168e-01,        +2.461634128675e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.75000000e+00,        +2.268934021862e-01,        +2.443378906523e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.80000000e+00,        +2.254535993627e-01,        +2.425637519715e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.85000000e+00,        +2.241184689785e-01,        +2.407838813321e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.90000000e+00,        +2.228327315691e-01,        +2.389260783495e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.95000000e+00,        +2.216223944144e-01,        +2.369564936204e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+00,        +2.206287058918e-01,        +2.349337158552e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.05000000e+00,        +2.201096399567e-01,        +2.330422964331e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.10000000e+00,        +2.204029426360e-01,        +2.315894454504e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.15000000e+00,        +2.218623048698e-01,        +2.309643719381e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.20000000e+00,        +2.247905900183e-01,        +2.315765530146e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.25000000e+00,        +2.293906047370e-01,        +2.337943169085e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.30000000e+00,        +2.357321724170e-01,        +2.378921009835e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.35000000e+00,        +2.437046479535e-01,        +2.439882599752e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.40000000e+00,        +2.529120418667e-01,        +2.519331874132e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.45000000e+00,        +2.625016493333e-01,        +2.611188194874e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.50000000e+00,        +2.710113097867e-01,        +2.702585065112e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.55000000e+00,        +2.764711834060e-01,        +2.773541227228e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.60000000e+00,        +2.771031898348e-01,        +2.802522827970e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.65000000e+00,        +2.726549386944e-01,        +2.780080176948e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.70000000e+00,        +2.653386503942e-01,        +2.721955209720e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.75000000e+00,        +2.587087806912e-01,        +2.662837607587e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.80000000e+00,        +2.548637077577e-01,        +2.628669051372e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.85000000e+00,        +2.529213074462e-01,        +2.615026663013e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.90000000e+00,        +2.504996085309e-01,        +2.595316389575e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.95000000e+00,        +2.465064760501e-01,        +2.551066215915e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e+00,        +2.416985932489e-01,        +2.487481202907e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.05000000e+00,        +2.367113664084e-01,        +2.416994727640e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.10000000e+00,        +2.310771812550e-01,        +2.342451382287e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.15000000e+00,        +2.242551037427e-01,        +2.261029817616e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.20000000e+00,        +2.166163404763e-01,        +2.174339547387e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.25000000e+00,        +2.092305283738e-01,        +2.090014991325e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.30000000e+00,        +2.031121198309e-01,        +2.016807896776e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.35000000e+00,        +1.987662230354e-01,        +1.960383761861e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.40000000e+00,        +1.961572262872e-01,        +1.922223081078e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.45000000e+00,        +1.948637352355e-01,        +1.900340879062e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.50000000e+00,        +1.942455685409e-01,        +1.890394890970e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.55000000e+00,        +1.935774762408e-01,        +1.886664208430e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.60000000e+00,        +1.921607314800e-01,        +1.882918239996e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.65000000e+00,        +1.894243239303e-01,        +1.873281786149e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.70000000e+00,        +1.850091751884e-01,        +1.853075771106e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.75000000e+00,        +1.788154521741e-01,        +1.819471524079e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.80000000e+00,        +1.709961992754e-01,        +1.771765123707e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.85000000e+00,        +1.618985785346e-01,        +1.711189330482e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.90000000e+00,        +1.519741474106e-01,        +1.640357930761e-01,        +0.000000000000e+00,        +0.000000000000e+00
 3.95000000e+00,        +1.416881495426e-01,        +1.562559513795e-01,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e+00,        +1.314512733712e-01,        +1.481119779953e-01,        +0.000000000000e+00,        +0.000000000000e+00
 4.05000000e+00,        +1.215829844363e-01,        +1.398962486017e-01,        +0.000000000000e+00,        +0.000000000000e+00
 4.10000000e+00,        +1.123029218835e-01,        +1.318392974013e-01,        +0.000000000000e+00,        +0.000000000000e+00
 4.15000000e+00,        +1.037407506021e-01,        +1.241058330964e-01,        +0.000000000000e+00,        +0.000000000000e+00
 4.20000000e+00,        +9.595464404397e-02,        +1.168015373169e-01,        +0.000000000000e+00,        +0.000000000000e+00
 4.25000000e+00,        +8.895131451580e-02,        +1.099846124200e-01,        +0.000000000000e+00,        +0.000000000000e+00
 4.30000000e+00,        +8.270369947746e-02,        +1.036780518084e-01,        +0.000000000000e+00,        +0.000000000000e+00
 4.35000000e+00,        +7.716483367430e-02,        +9.788051176318e-02,        +0.000000000000e+00,        +0.000000000000e+00
 4.40000000e+00,        +7.227785943255e-02,        +9.257499809659e-02,        +0.000000000000e+00,        +0.000000000000e+00
 4.45000000e+00,        +6.798277294149e-02,        +8.773533815512e-02,        +0.000000000000e+00,        +0.000000000000e+00
 4.50000000e+00,        +6.422067938088e-02,        +8.333075152332e-02,        +0.000000000000e+00,        +0.000000000000e+00
 4.55000000e+00,        +6.093627403421e-02,        +7.932893168815e-02,        +0.000000000000e+00,        +0.000000000000e+00
 4.60000000e+00,        +5.807912676817e-02,        +7.569802961472e-02,        +0.000000000000e+00,        +0.000000000000e+00
 4.65000000e+00,        +5.560419822877e-02,        +7.240786275213e-02,        +0.000000000000e+00,        +0.000000000000e+00
 4.70000000e+00,        +5.347188858787e-02,        +6.943059760420e-02,        +0.000000000000e+00,        +0.000000000000e+00
 4.75000000e+00,        +5.164782159716e-02,        +6.674108716135e-02,        +0.000000000000e+00,        +0.000000000000e+00
 4.80000000e+00,        +5.010249597198e-02,        +6.431699126178e-02,        +0.000000000000e+00,        +0.000000000000e+00
 4.85000000e+00,        +4.881088732587e-02,        +6.213876813573e-02,        +0.000000000000e+00,        +0.000000000000e+00
 4.90000000e+00,        +4.775205135806e-02,        +6.018959682820e-02,        +0.000000000000e+00,        +0.000000000000e+00
 4.95000000e+00,        +4.690875799997e-02,        +5.845527035481e-02,        +0.000000000000e+00,        +0.000000000000e+00
