        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 1.00000000e-01,        +1.414213562373e-01,        +2.753200544583e-01,        -4.112570995954e-02
 1.50000000e-01,        +1.414213562373e-01,        +2.655403977888e-01,        -6.079849414426e-02
 2.00000000e-01,        +1.414213562373e-01,        +2.512286186553e-01,        -7.897652412278e-02
 2.50000000e-01,        +1.414213562373e-01,        +2.320133008218e-01,        -9.441415193449e-02
 3.00000000e-01,        +1.414213562373e-01,        +2.079266964769e-01,        -1.052382357708e-01
 3.50000000e-01,        +1.414213562373e-01,        +1.799846886046e-01,        -1.090496304126e-01
 4.00000000e-01,        +1.414213562373e-01,        +1.508185104839e-01,        -1.035737428369e-01
 4.50000000e-01,        +1.414213562373e-01,        +1.247478529368e-01,        -8.800073985177e-02
 5.00000000e-01,        +1.414213562373e-01,        +1.065262882319e-01,        -6.434671738088e-02
 5.50000000e-01,        +1.414213562373e-01,        +9.902972932976e-02,        -3.736143681356e-02
 6.00000000e-01,        +1.414213562373e-01,        +1.017579242650e-01,        -1.244592727670e-02
 6.50000000e-01,        +1.414213562373e-01,        +1.115545582434e-01,        +6.740817344996e-03
 7.00000000e-01,        +1.414213562373e-01,        +1.245919258045e-01,        +1.909176395085e-02
 7.50000000e-01,        +1.414213562373e-01,        +1.378498687467e-01,        +2.534025786488e-02
 8.00000000e-01,        +1.414213562373e-01,        +1.495238212249e-01,        +2.698793374737e-02
 8.50000000e-01,        +1.414213562373e-01,        +1.587985124304e-01,        +2.558865191817e-02
 9.00000000e-01,        +1.414213562373e-01,        +1.654831247655e-01,        +2.244995474989e-02
 9.50000000e-01,        +1.414213562373e-01,        +1.697281225437e-01,        +1.857755326618e-02
 1.00000000e+00,        +1.414213562373e-01,        +1.718558420849e-01,        +1.471258018351e-02
 1.05000000e+00,        +1.414213562373e-01,        +1.722730097631e-01,        +1.138398735796e-02
 1.10000000e+00,        +1.414213562373e-01,        +1.714279009388e-01,        +8.947668983192e-03
 1.15000000e+00,        +1.414213562373e-01,        +1.697849811364e-01,        +7.608072993122e-03
 1.20000000e+00,        +1.414213562373e-01,        +1.678008314293e-01,        +7.428445477139e-03
 1.25000000e+00,        +1.414213562373e-01,        +1.658945081419e-01,        +8.339622663573e-03
 1.30000000e+00,        +1.414213562373e-01,        +1.644134640646e-01,        +1.015693222958e-02
 1.35000000e+00,        +1.414213562373e-01,        +1.636021447352e-01,        +1.261081351666e-02
 1.40000000e+00,        +1.414213562373e-01,        +1.635827309501e-01,        +1.539027708329e-02
 1.45000000e+00,        +1.414213562373e-01,        +1.643551718614e-01,        +1.819189477695e-02
 1.50000000e+00,        +1.414213562373e-01,        +1.658177554396e-01,        +2.076372296940e-02
 1.55000000e+00,        +1.414213562373e-01,        +1.678031120703e-01,        +2.293485844674e-02
 1.60000000e+00,        +1.414213562373e-01,        +1.701208287693e-01,        +2.462594173655e-02
 1.65000000e+00,        +1.414213562373e-01,        +1.725977651881e-01,        +2.584098613985e-02
 1.70000000e+00,        +1.414213562373e-01,        +1.751093711845e-01,        +2.664416302418e-02
 1.75000000e+00,        +1.414213562373e-01,        +1.775976345685e-01,        +2.712633705973e-02
 1.80000000e+00,        +1.414213562373e-01,        +1.800725211478e-01,        +2.736662583405e-02
 1.85000000e+00,        +1.414213562373e-01,        +1.825945473033e-01,        +2.739571619530e-02
 1.90000000e+00,        +1.414213562373e-01,        +1.852385363996e-01,        +2.717032521491e-02
 1.95000000e+00,        +1.414213562373e-01,        +1.880444051850e-01,        +2.656976701638e-02
 2.00000000e+00,        +1.414213562373e-01,        +1.909687976118e-01,        +2.542219387861e-02
 2.05000000e+00,        +1.414213562373e-01,        +1.938562639592e-01,        +2.355789430974e-02
 2.10000000e+00,        +1.414213562373e-01,        +1.964445695562e-01,        +2.087413544651e-02
 2.15000000e+00,        +1.414213562373e-01,        +1.984054233076e-01,        +1.738894994624e-02
 2.20000000e+00,        +1.414213562373e-01,        +1.994066546517e-01,        +1.326566525472e-02
 2.25000000e+00,        +1.414213562373e-01,        +1.991734504055e-01,        +8.804329952101e-03
 2.30000000e+00,        +1.414213562373e-01,        +1.975309691799e-01,        +4.414302496849e-03
 2.35000000e+00,        +1.414213562373e-01,        +1.944320636260e-01,        +5.922258556944e-04
 2.40000000e+00,        +1.414213562373e-01,        +1.900017799303e-01,        -2.087489160080e-03
 2.45000000e+00,        +1.414213562373e-01,        +1.846311034576e-01,        -3.010438053064e-03
 2.50000000e+00,        +1.414213562373e-01,        +1.790946476065e-01,        -1.672308414371e-03
 2.55000000e+00,        +1.414213562373e-01,        +1.745556524107e-01,        +2.000625973213e-03
 2.60000000e+00,        +1.414213562373e-01,        +1.722322554729e-01,        +7.275346724170e-03
