        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 1.00000000e-01,        -8.326888646287e-02,        -1.707384138166e+01
 1.50000000e-01,        -1.995130576587e-01,        -2.609746963377e+01
 2.00000000e-01,        -3.869933273754e-01,        -3.572476853066e+01
 2.50000000e-01,        -6.750258038545e-01,        -4.618355666922e+01
 3.00000000e-01,        -1.107530346973e+00,        -5.770914621618e+01
 3.50000000e-01,        -1.746078839400e+00,        -7.052482567285e+01
 4.00000000e-01,        -2.669702751018e+00,        -8.481579847302e+01
 4.50000000e-01,        -3.967399792865e+00,        -1.007286574852e+02
 5.00000000e-01,        -5.720138469123e+00,        -1.184708689778e+02
 5.50000000e-01,        -7.968410073014e+00,        -1.386089823496e+02
 6.00000000e-01,        -1.063463904598e+01,        -1.625787445949e+02
 6.50000000e-01,        -1.329075284899e+01,        +1.672816649250e+02
 7.00000000e-01,        -1.489639215666e+01,        +1.313962449579e+02
 7.50000000e-01,        -1.484865488673e+01,        +9.802249621071e+01
 8.00000000e-01,        -1.401210309959e+01,        +7.328890489219e+01
 8.50000000e-01,        -1.320233946769e+01,        +5.581972311852e+01
 9.00000000e-01,        -1.266413901178e+01,        +4.301527057312e+01
 9.50000000e-01,        -1.241694384979e+01,        +3.327663929757e+01
 1.00000000e+00,        -1.243090948366e+01,        +2.579996166177e+01
 1.05000000e+00,        -1.267035721532e+01,        +2.025361491600e+01
 1.10000000e+00,        -1.309602992185e+01,        +1.660408491231e+01
 1.15000000e+00,        -1.365332330888e+01,        +1.501519473301e+01
 1.20000000e+00,        -1.425356222243e+01,        +1.572719001274e+01
 1.25000000e+00,        -1.475938673124e+01,        +1.881737441834e+01
 1.30000000e+00,        -1.500450171549e+01,        +2.383379618233e+01
 1.35000000e+00,        -1.487435667629e+01,        +2.962025125417e+01
 1.40000000e+00,        -1.438906277505e+01,        +3.477858753998e+01
 1.45000000e+00,        -1.368097351856e+01,        +3.842266595719e+01
 1.50000000e+00,        -1.289748690688e+01,        +4.040103482915e+01
 1.55000000e+00,        -1.213957093523e+01,        +4.100191483611e+01
 1.60000000e+00,        -1.145664582049e+01,        +4.063165670965e+01
 1.65000000e+00,        -1.086258966965e+01,        +3.965409453377e+01
 1.70000000e+00,        -1.035082171333e+01,        +3.834079874770e+01
 1.75000000e+00,        -9.904298646301e+00,        +3.686394547246e+01
 1.80000000e+00,        -9.502307813189e+00,        +3.530007467291e+01
 1.85000000e+00,        -9.126167031825e+00,        +3.363890182427e+01
 1.90000000e+00,        -8.764469411989e+00,        +3.180238244531e+01
 1.95000000e+00,        -8.416885989472e+00,        +2.967815815137e+01
 2.00000000e+00,        -8.094950545217e+00,        +2.716181162882e+01
 2.05000000e+00,        -7.819381796716e+00,        +2.419337459050e+01
 2.10000000e+00,        -7.615419475274e+00,        +2.077522359182e+01
 2.15000000e+00,        -7.508555376042e+00,        +1.696980935814e+01
 2.20000000e+00,        -7.522386932299e+00,        +1.288615954775e+01
 2.25000000e+00,        -7.679165352667e+00,        +8.668024243970e+00
 2.30000000e+00,        -8.002757054864e+00,        +4.498356124290e+00
 2.35000000e+00,        -8.522485957765e+00,        +6.400712638435e-01
 2.40000000e+00,        -9.273062572419e+00,        -2.460472316331e+00
 2.45000000e+00,        -1.027763597207e+01,        -3.985376843734e+00
 2.50000000e+00,        -1.148107952743e+01,        -2.541677440223e+00
