        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 1.00000000e-01,        +7.071067811865e+00,        +1.376600272291e+01,        -2.056285497977e+00
 1.50000000e-01,        +7.071067811865e+00,        +1.327701988944e+01,        -3.039924707213e+00
 2.00000000e-01,        +7.071067811865e+00,        +1.256143093277e+01,        -3.948826206139e+00
 2.50000000e-01,        +7.071067811865e+00,        +1.160066504109e+01,        -4.720707596724e+00
 3.00000000e-01,        +7.071067811865e+00,        +1.039633482385e+01,        -5.261911788540e+00
 3.50000000e-01,        +7.071067811865e+00,        +8.999234430228e+00,        -5.452481520628e+00
 4.00000000e-01,        +7.071067811865e+00,        +7.540925524194e+00,        -5.178687141847e+00
 4.50000000e-01,        +7.071067811865e+00,        +6.237392646838e+00,        -4.400036992588e+00
 5.00000000e-01,        +7.071067811865e+00,        +5.326314411596e+00,        -3.217335869044e+00
 5.50000000e-01,        +7.071067811865e+00,        +4.951486466488e+00,        -1.868071840678e+00
 6.00000000e-01,        +7.071067811865e+00,        +5.087896213252e+00,        -6.222963638349e-01
 6.50000000e-01,        +7.071067811865e+00,        +5.577727912172e+00,        +3.370408672498e-01
 7.00000000e-01,        +7.071067811865e+00,        +6.229596290225e+00,        +9.545881975425e-01
 7.50000000e-01,        +7.071067811865e+00,        +6.892493437333e+00,        +1.267012893244e+00
 8.00000000e-01,        +7.071067811865e+00,        +7.476191061244e+00,        +1.349396687368e+00
 8.50000000e-01,        +7.071067811865e+00,        +7.939925621522e+00,        +1.279432595909e+00
 9.00000000e-01,        +7.071067811865e+00,        +8.274156238276e+00,        +1.122497737494e+00
 9.50000000e-01,        +7.071067811865e+00,        +8.486406127184e+00,        +9.288776633088e-01
 1.00000000e+00,        +7.071067811865e+00,        +8.592792104243e+00,        +7.356290091757e-01
 1.05000000e+00,        +7.071067811865e+00,        +8.613650488157e+00,        +5.691993678981e-01
 1.10000000e+00,        +7.071067811865e+00,        +8.571395046942e+00,        +4.473834491596e-01
 1.15000000e+00,        +7.071067811865e+00,        +8.489249056822e+00,        +3.804036496561e-01
 1.20000000e+00,        +7.071067811865e+00,        +8.390041571466e+00,        +3.714222738569e-01
 1.25000000e+00,        +7.071067811865e+00,        +8.294725407093e+00,        +4.169811331786e-01
 1.30000000e+00,        +7.071067811865e+00,        +8.220673203231e+00,        +5.078466114790e-01
 1.35000000e+00,        +7.071067811865e+00,        +8.180107236759e+00,        +6.305406758331e-01
 1.40000000e+00,        +7.071067811865e+00,        +8.179136547503e+00,        +7.695138541645e-01
 1.45000000e+00,        +7.071067811865e+00,        +8.217758593069e+00,        +9.095947388476e-01
 1.50000000e+00,        +7.071067811865e+00,        +8.290887771981e+00,        +1.038186148470e+00
 1.55000000e+00,        +7.071067811865e+00,        +8.390155603517e+00,        +1.146742922337e+00
 1.60000000e+00,        +7.071067811865e+00,        +8.506041438463e+00,        +1.231297086828e+00
 1.65000000e+00,        +7.071067811865e+00,        +8.629888259406e+00,        +1.292049306992e+00
 1.70000000e+00,        +7.071067811865e+00,        +8.755468559223e+00,        +1.332208151209e+00
 1.75000000e+00,        +7.071067811865e+00,        +8.879881728425e+00,        +1.356316852987e+00
 1.80000000e+00,        +7.071067811865e+00,        +9.003626057388e+00,        +1.368331291702e+00
 1.85000000e+00,        +7.071067811865e+00,        +9.129727365166e+00,        +1.369785809765e+00
 1.90000000e+00,        +7.071067811865e+00,        +9.261926819982e+00,        +1.358516260745e+00
 1.95000000e+00,        +7.071067811865e+00,        +9.402220259252e+00,        +1.328488350819e+00
 2.00000000e+00,        +7.071067811865e+00,        +9.548439880592e+00,        +1.271109693930e+00
 2.05000000e+00,        +7.071067811865e+00,        +9.692813197960e+00,        +1.177894715487e+00
 2.10000000e+00,        +7.071067811865e+00,        +9.822228477810e+00,        +1.043706772326e+00
 2.15000000e+00,        +7.071067811865e+00,        +9.920271165378e+00,        +8.694474973119e-01
 2.20000000e+00,        +7.071067811865e+00,        +9.970332732585e+00,        +6.632832627358e-01
 2.25000000e+00,        +7.071067811865e+00,        +9.958672520276e+00,        +4.402164976051e-01
 2.30000000e+00,        +7.071067811865e+00,        +9.876548458993e+00,        +2.207151248424e-01
 2.35000000e+00,        +7.071067811865e+00,        +9.721603181298e+00,        +2.961129278472e-02
 2.40000000e+00,        +7.071067811865e+00,        +9.500088996513e+00,        -1.043744580040e-01
 2.45000000e+00,        +7.071067811865e+00,        +9.231555172879e+00,        -1.505219026532e-01
 2.50000000e+00,        +7.071067811865e+00,        +8.954732380327e+00,        -8.361542071854e-02
 2.55000000e+00,        +7.071067811865e+00,        +8.727782620533e+00,        +1.000312986607e-01
 2.60000000e+00,        +7.071067811865e+00,        +8.611612773645e+00,        +3.637673362085e-01
 2.65000000e+00,        +7.071067811865e+00,        +8.632654629132e+00,        +6.302522389662e-01
 2.70000000e+00,        +7.071067811865e+00,        +8.751763619454e+00,        +8.225353790750e-01
 2.75000000e+00,        +7.071067811865e+00,        +8.888014111716e+00,        +9.255056167082e-01
 2.80000000e+00,        +7.071067811865e+00,        +8.996277506181e+00,        +9.956035344735e-01
 2.85000000e+00,        +7.071067811865e+00,        +9.116295606391e+00,        +1.086590226047e+00
 2.90000000e+00,        +7.071067811865e+00,        +9.318360705972e+00,        +1.163719362507e+00
 2.95000000e+00,        +7.071067811865e+00,        +9.589120966168e+00,        +1.127178476793e+00
 3.00000000e+00,        +7.071067811865e+00,        +9.818314065781e+00,        +9.396067024893e-01
 3.05000000e+00,        +7.071067811865e+00,        +9.917551090754e+00,        +6.759279649431e-01
 3.10000000e+00,        +7.071067811865e+00,        +9.897951218891e+00,        +4.363207216085e-01
 3.15000000e+00,        +7.071067811865e+00,        +9.828587952695e+00,        +2.586120302364e-01
 3.20000000e+00,        +7.071067811865e+00,        +9.760351058952e+00,        +1.162420625969e-01
 3.25000000e+00,        +7.071067811865e+00,        +9.695749723590e+00,        -3.307037851744e-02
 3.30000000e+00,        +7.071067811865e+00,        +9.605905214448e+00,        -2.098546664521e-01
 3.35000000e+00,        +7.071067811865e+00,        +9.457941252175e+00,        -4.060033915252e-01
 3.40000000e+00,        +7.071067811865e+00,        +9.231040683814e+00,        -5.944009486411e-01
 3.45000000e+00,        +7.071067811865e+00,        +8.921083222855e+00,        -7.402857412203e-01
 3.50000000e+00,        +7.071067811865e+00,        +8.539923536473e+00,        -8.095500537566e-01
 3.55000000e+00,        +7.071067811865e+00,        +8.112882646884e+00,        -7.745831703451e-01
 3.60000000e+00,        +7.071067811865e+00,        +7.675143426324e+00,        -6.188077092223e-01
 3.65000000e+00,        +7.071067811865e+00,        +7.266729311574e+00,        -3.399218814133e-01
 3.70000000e+00,        +7.071067811865e+00,        +6.926212815688e+00,        +4.905329792450e-02
 3.75000000e+00,        +7.071067811865e+00,        +6.684321841103e+00,        +5.217666576101e-01
 3.80000000e+00,        +7.071067811865e+00,        +6.559226528201e+00,        +1.043419488931e+00
 3.85000000e+00,        +7.071067811865e+00,        +6.554900392378e+00,        +1.577150796449e+00
 3.90000000e+00,        +7.071067811865e+00,        +6.662738839658e+00,        +2.089950709599e+00
 3.95000000e+00,        +7.071067811865e+00,        +6.865392807352e+00,        +2.556560009993e+00
 4.00000000e+00,        +7.071067811865e+00,        +7.141252518367e+00,        +2.960862412488e+00
 4.05000000e+00,        +7.071067811865e+00,        +7.468291426040e+00,        +3.295229400562e+00
 4.10000000e+00,        +7.071067811865e+00,        +7.826645622886e+00,        +3.558711007907e+00
 4.15000000e+00,        +7.071067811865e+00,        +8.199906568253e+00,        +3.754906618248e+00
 4.20000000e+00,        +7.071067811865e+00,        +8.575434418200e+00,        +3.890052870305e+00
 4.25000000e+00,        +7.071067811865e+00,        +8.944075314748e+00,        +3.971560416644e+00
