        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 5.00000000e-01,        +2.466989084840e-01,        +2.494048671946e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.00000000e-01,        +2.539691089444e-01,        +2.464177028699e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.00000000e-01,        +2.597885376797e-01,        +2.473448006049e-01,        +0.000000000000e+00,        +0.000000000000e+00
 8.00000000e-01,        +2.642180476681e-01,        +2.519830496539e-01,        +0.000000000000e+00,        +0.000000000000e+00
 9.00000000e-01,        +2.678916811600e-01,        +2.596050369818e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.00000000e+00,        +2.719660541628e-01,        +2.693823515052e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+00,        +2.779115023156e-01,        +2.806921360753e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+00,        +2.876096174057e-01,        +2.935312219778e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+00,        +3.031220245361e-01,        +3.081457527400e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+00,        +3.264369276321e-01,        +3.244637257630e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+00,        +3.573074514191e-01,        +3.404712421668e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+00,        +3.877934240414e-01,        +3.499160101850e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.70000000e+00,        +3.990565848844e-01,        +3.434097371764e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.80000000e+00,        +3.756766989023e-01,        +3.178094967460e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.90000000e+00,        +3.252795623279e-01,        +2.820573225334e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+00,        +2.679904101845e-01,        +2.471285515122e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.10000000e+00,        +2.168442192580e-01,        +2.177604429268e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.20000000e+00,        +1.754987727909e-01,        +1.940983195662e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.30000000e+00,        +1.432430069134e-01,        +1.749295008034e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.40000000e+00,        +1.182765293279e-01,        +1.590736880928e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.50000000e+00,        +9.888759662573e-02,        +1.456680291276e-01,        +0.000000000000e+00,        +0.000000000000e+00
