        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 5.00000000e-01,        +1.414213562373e-01,        +1.587292948871e-01,        +1.202225778671e-03,        +2.471057431829e-04,        -1.382862831552e-01
 6.00000000e-01,        +1.414213562373e-01,        +1.576072792007e-01,        -4.026001584927e-03,        -4.287280788348e-02,        -1.310249954170e-01
 7.00000000e-01,        +1.414213562373e-01,        +1.537957022686e-01,        -7.740049399137e-03,        -8.203735728509e-02,        -1.104520473287e-01
 8.00000000e-01,        +1.414213562373e-01,        +1.486834946901e-01,        -8.697386228073e-03,        -1.131459812226e-01,        -7.792334923827e-02
 9.00000000e-01,        +1.414213562373e-01,        +1.441353277769e-01,        -6.626986206073e-03,        -1.323133323809e-01,        -3.611456164422e-02
 1.00000000e+00,        +1.414213562373e-01,        +1.419149538700e-01,        -2.295817690961e-03,        -1.363596643874e-01,        +1.088333084707e-02
 1.10000000e+00,        +1.414213562373e-01,        +1.432548995118e-01,        +2.717886663394e-03,        -1.233852474175e-01,        +5.766650116271e-02
 1.20000000e+00,        +1.414213562373e-01,        +1.487052425348e-01,        +6.314159020746e-03,        -9.329979194939e-02,        +9.788191174335e-02
 1.30000000e+00,        +1.414213562373e-01,        +1.580909434963e-01,        +5.803157443974e-03,        -4.832753938048e-02,        +1.245313123982e-01
 1.40000000e+00,        +1.414213562373e-01,        +1.697853596021e-01,        -2.454677377015e-03,        +6.047523058589e-03,        +1.304702409340e-01
 1.50000000e+00,        +1.414213562373e-01,        +1.785575984874e-01,        -2.244039204911e-02,        +5.933141829748e-02,        +1.100459407039e-01
 1.60000000e+00,        +1.414213562373e-01,        +1.735425863310e-01,        -5.385117304445e-02,        +9.511688104464e-02,        +6.442878357516e-02
 1.70000000e+00,        +1.414213562373e-01,        +1.441398662728e-01,        -8.405902628301e-02,        +9.849303416681e-02,        +9.472459199918e-03
 1.80000000e+00,        +1.414213562373e-01,        +9.598521211802e-02,        -9.255499384998e-02,        +7.303922793200e-02,        -2.997734743882e-02
 1.90000000e+00,        +1.414213562373e-01,        +5.038646458354e-02,        -7.297191365823e-02,        +4.006823783309e-02,        -4.355109091728e-02
 2.00000000e+00,        +1.414213562373e-01,        +2.200419665851e-02,        -3.707471838137e-02,        +1.545340737355e-02,        -3.998928914707e-02
 2.10000000e+00,        +1.414213562373e-01,        +1.150483704796e-02,        +1.709683292381e-03,        +1.637679971372e-03,        -3.071649063798e-02
 2.20000000e+00,        +1.414213562373e-01,        +1.367460961561e-02,        +3.635966797126e-02,        -4.683136349155e-03,        -2.167876660136e-02
 2.30000000e+00,        +1.414213562373e-01,        +2.340421820588e-02,        +6.475851621389e-02,        -6.885938573961e-03,        -1.464427034930e-02
 2.40000000e+00,        +1.414213562373e-01,        +3.715212043387e-02,        +8.700336028891e-02,        -7.110793380989e-03,        -9.642616595667e-03
 2.50000000e+00,        +1.414213562373e-01,        +5.272754997957e-02,        +1.039199927011e-01,        -6.502961702509e-03,        -6.231663077922e-03
