        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 5.00000000e-01,        -1.822448946215e+01,        +3.973436827831e+00,        -1.947040121896e-01,        -8.989761745861e+01
 6.00000000e-01,        -1.856684124126e+01,        -1.396799429657e+01,        -2.214779218969e-01,        -1.081186609404e+02
 7.00000000e-01,        -1.972583511126e+01,        -3.202563304133e+01,        -2.388436591931e-01,        -1.266028175905e+02
 8.00000000e-01,        -2.192521859750e+01,        -5.013881354958e+01,        -2.516463159042e-01,        -1.454449143927e+02
 9.00000000e-01,        -2.591060064324e+01,        -6.772926634360e+01,        -2.661627707015e-01,        -1.647331501742e+02
 1.00000000e+00,        -3.559530352486e+01,        -7.786619546780e+01,        -2.890038803177e-01,        +1.754367012942e+02
 1.10000000e+00,        -3.269670463829e+01,        +5.599557278189e+01,        -3.270142541781e-01,        +1.549500475926e+02
 1.20000000e+00,        -2.332903951537e+01,        +4.092093003506e+01,        -3.891793448557e-01,        +1.336270345553e+02
 1.30000000e+00,        -1.807499764783e+01,        +1.919446058123e+01,        -4.954754503733e-01,        +1.112100080699e+02
 1.40000000e+00,        -1.392254403449e+01,        -4.946167373570e+00,        -6.907499304586e-01,        +8.734614026518e+01
 1.50000000e+00,        -1.026255404993e+01,        -3.114339429359e+01,        -1.070619522213e+00,        +6.166861311773e+01
 1.60000000e+00,        -7.064471642195e+00,        -5.918470408457e+01,        -1.805123548872e+00,        +3.411231236513e+01
 1.70000000e+00,        -4.514072913978e+00,        -8.814767206658e+01,        -3.102204546151e+00,        +5.493463019059e+00
 1.80000000e+00,        -2.744611850405e+00,        -1.161468692845e+02,        -5.063070768931e+00,        -2.231462172573e+01
 1.90000000e+00,        -1.671000253537e+00,        -1.412849713783e+02,        -7.566938630483e+00,        -4.738506465682e+01
 2.00000000e+00,        -1.069323116098e+00,        -1.627523172590e+02,        -1.036696055948e+01,        -6.887154066116e+01
 2.10000000e+00,        -7.362603793104e-01,        +1.792460390463e+02,        -1.325054031930e+01,        -8.694810862097e+01
 2.20000000e+00,        -5.450047550660e-01,        +1.641124254972e+02,        -1.609152566187e+01,        -1.021899532416e+02
 2.30000000e+00,        -4.283081253034e-01,        +1.512454859099e+02,        -1.882942913893e+01,        -1.151835589571e+02
 2.40000000e+00,        -3.523002630948e-01,        +1.401580200948e+02,        -2.144046653946e+01,        -1.264063253792e+02
 2.50000000e+00,        -2.997975437916e-01,        +1.304801482531e+02,        -2.391890620289e+01,        -1.362204454736e+02
