        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00000000e+00,        +1.327521627747e-01,        +1.756780074504e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+00,        +1.365265400701e-01,        +1.739909411828e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+00,        +1.405761259462e-01,        +1.722098197761e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+00,        +1.447231623821e-01,        +1.704032546675e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+00,        +1.487694107061e-01,        +1.686401377777e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+00,        +1.525109809277e-01,        +1.669826168578e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+00,        +1.557599012275e-01,        +1.654833071720e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.70000000e+00,        +1.583550416279e-01,        +1.641741446260e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.80000000e+00,        +1.601772476857e-01,        +1.630636822797e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.90000000e+00,        +1.611619636669e-01,        +1.621411754842e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+00,        +1.612990225474e-01,        +1.613779298308e-01,        +0.000000000000e+00,        +0.000000000000e+00
