        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[3][1]| (dB),        arg(S[3][1]) (deg.)
 1.00000000e+00,        -1.101184345954e+01,        +1.066092144015e+02,        -3.590544544464e+00,        -1.148931976738e+02,        -3.582086536683e+00,        -1.151474458229e+02
 1.10000000e+00,        -1.164501527094e+01,        +9.828642881840e+01,        -3.564515792988e+00,        -1.265305016874e+02,        -3.561545404275e+00,        -1.267856836281e+02
 1.20000000e+00,        -1.244976454252e+01,        +8.989340979373e+01,        -3.536838631373e+00,        -1.382420380675e+02,        -3.537354422264e+00,        -1.384998382077e+02
 1.30000000e+00,        -1.346935087973e+01,        +8.148596469344e+01,        -3.509202984440e+00,        -1.500333371926e+02,        -3.512332814770e+00,        -1.503000539065e+02
 1.40000000e+00,        -1.476836816501e+01,        +7.314902939758e+01,        -3.483178603328e+00,        -1.619128038683e+02,        -3.490340129618e+00,        -1.621855454224e+02
 1.50000000e+00,        -1.645154756329e+01,        +6.502559733573e+01,        -3.461879020416e+00,        -1.738942607219e+02,        -3.473674599231e+00,        -1.741380732764e+02
 1.60000000e+00,        -1.870919415894e+01,        +5.740672723150e+01,        -3.451635187526e+00,        +1.740298428284e+02,        -3.460533644671e+00,        +1.738458790650e+02
 1.70000000e+00,        -2.194943861759e+01,        +5.107409042104e+01,        -3.454305787140e+00,        +1.618999952462e+02,        -3.453567152189e+00,        +1.617406538358e+02
 1.80000000e+00,        -2.733474665855e+01,        +4.942378177999e+01,        -3.467907400973e+00,        +1.497313440375e+02,        -3.458743035640e+00,        +1.495567610756e+02
 1.90000000e+00,        -3.850697849963e+01,        +1.001429255406e+02,        -3.492502091893e+00,        +1.375276167539e+02,        -3.478445402862e+00,        +1.373214918671e+02
 2.00000000e+00,        -2.857771875029e+01,        +1.784745891466e+02,        -3.529066823136e+00,        +1.252976949837e+02,        -3.512918262214e+00,        +1.250571061921e+02
