        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V),               Re{V[2]} (V),               Im{V[2]} (V),               Re{V[3]} (V),               Im{V[3]} (V)
 1.00000000e+00,        +7.071067811865e+00,        +6.502189201806e+00,        +1.907145029159e+00,        -1.968637339233e+00,        -4.242384883434e+00,        -1.989379583033e+00,        -4.237731922522e+00
 1.10000000e+00,        +7.071067811865e+00,        +6.804404072587e+00,        +1.830949433412e+00,        -2.792280755875e+00,        -3.769352572722e+00,        -2.810001613553e+00,        -3.758164059052e+00
 1.20000000e+00,        +7.071067811865e+00,        +7.074205365762e+00,        +1.686537583056e+00,        -3.510438962442e+00,        -3.134063095426e+00,        -3.524295687590e+00,        -3.118051176320e+00
 1.30000000e+00,        +7.071067811865e+00,        +7.293107594275e+00,        +1.483217370244e+00,        -4.089792537702e+00,        -2.358071060600e+00,        -4.099247837670e+00,        -2.338164574307e+00
 1.40000000e+00,        +7.071067811865e+00,        +7.445428139155e+00,        +1.235966399850e+00,        -4.501083715799e+00,        -1.470067699182e+00,        -4.504315220122e+00,        -1.447430993369e+00
 1.50000000e+00,        +7.071067811865e+00,        +7.520267611456e+00,        +9.644367654147e-01,        -4.719765401321e+00,        -5.048755939266e-01,        -4.715463050373e+00,        -4.841290138203e-01
 1.60000000e+00,        +7.071067811865e+00,        +7.512993847784e+00,        +6.911992699430e-01,        -4.726517903490e+00,        +4.942881567326e-01,        -4.720068436748e+00,        +5.089396986646e-01
 1.70000000e+00,        +7.071067811865e+00,        +7.426036826055e+00,        +4.395110882313e-01,        -4.515740845075e+00,        +1.475972033266e+00,        -4.512002339430e+00,        +1.488651317578e+00
 1.80000000e+00,        +7.071067811865e+00,        +7.268750028939e+00,        +2.308336381759e-01,        -4.096737940000e+00,        +2.390934895482e+00,        -4.093750624431e+00,        +2.405943872307e+00
 1.90000000e+00,        +7.071067811865e+00,        +7.056279931249e+00,        +8.265994604544e-02,        -3.488851672713e+00,        +3.193851267934e+00,        -3.482971114906e+00,        +3.211575123601e+00
 2.00000000e+00,        +7.071067811865e+00,        +6.807771284722e+00,        +7.011516460080e-03,        -2.721622154962e+00,        +3.844212729048e+00,        -2.710490689563e+00,        +3.862781980704e+00
