        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 4.50000000e+00,        +6.896737701323e-01,        +6.846386937167e-01,        +0.000000000000e+00,        +0.000000000000e+00
 4.60000000e+00,        +6.725480616412e-01,        +6.720292481755e-01,        +0.000000000000e+00,        +0.000000000000e+00
 4.70000000e+00,        +6.568970745708e-01,        +6.612894723499e-01,        +0.000000000000e+00,        +0.000000000000e+00
 4.80000000e+00,        +6.503729950907e-01,        +6.503092587230e-01,        +0.000000000000e+00,        +0.000000000000e+00
 4.90000000e+00,        +6.441510776433e-01,        +6.403629607096e-01,        +0.000000000000e+00,        +0.000000000000e+00
 5.00000000e+00,        +6.327485904819e-01,        +6.329387864995e-01,        +0.000000000000e+00,        +0.000000000000e+00
 5.10000000e+00,        +6.224482146961e-01,        +6.257352044843e-01,        +0.000000000000e+00,        +0.000000000000e+00
 5.20000000e+00,        +6.161160281140e-01,        +6.160601213422e-01,        +0.000000000000e+00,        +0.000000000000e+00
 5.30000000e+00,        +7.282159733289e-01,        +7.281929993281e-01,        +0.000000000000e+00,        +0.000000000000e+00
 5.40000000e+00,        +7.177334161572e-01,        +7.130300495729e-01,        +0.000000000000e+00,        +0.000000000000e+00
 5.50000000e+00,        +6.985404730211e-01,        +7.001125670637e-01,        +0.000000000000e+00,        +0.000000000000e+00
