        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 4.50000000e+00,        -1.673804758372e+01,        -7.793589522602e+01
 4.60000000e+00,        -1.724601495283e+01,        -1.737304068209e+02
 4.70000000e+00,        -1.773512444209e+01,        +9.199904486545e+01
 4.80000000e+00,        -1.820412667567e+01,        -8.956845242501e-01
 4.90000000e+00,        -1.865549916346e+01,        -9.253650042517e+01
 5.00000000e+00,        -1.909893329611e+01,        +1.769123304307e+02
 5.10000000e+00,        -1.953986696776e+01,        +8.736839061541e+01
 5.20000000e+00,        -2.006889319733e+01,        -1.054968420227e+00
 5.30000000e+00,        -1.532539819168e+01,        -2.559094680292e-01
 5.40000000e+00,        -1.576989228209e+01,        -1.013140602194e+02
 5.50000000e+00,        -1.620992174888e+01,        +1.594411176466e+02
