        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 4.50000000e+00,        +2.766148025213e-01,        +2.797176853497e-01,        +0.000000000000e+00,        +0.000000000000e+00
 4.58000000e+00,        +7.352260604052e-01,        +7.317188518742e-01,        +0.000000000000e+00,        +0.000000000000e+00
 4.66000000e+00,        +6.855353551502e-01,        +6.704197771560e-01,        +0.000000000000e+00,        +0.000000000000e+00
 4.74000000e+00,        +1.884328037313e+00,        +1.884943304789e+00,        +0.000000000000e+00,        +0.000000000000e+00
 4.82000000e+00,        +6.718324493833e-01,        +6.919608182382e-01,        +0.000000000000e+00,        +0.000000000000e+00
 4.90000000e+00,        +3.907761530191e-01,        +4.006457850642e-01,        +0.000000000000e+00,        +0.000000000000e+00
 4.98000000e+00,        +3.012512822252e-01,        +3.039842221109e-01,        +0.000000000000e+00,        +0.000000000000e+00
 5.06000000e+00,        +3.623711791582e-01,        +3.559747625119e-01,        +0.000000000000e+00,        +0.000000000000e+00
 5.14000000e+00,        +1.235428641293e+00,        +1.220040495107e+00,        +0.000000000000e+00,        +0.000000000000e+00
 5.22000000e+00,        +1.418842007481e+00,        +1.423366524854e+00,        +0.000000000000e+00,        +0.000000000000e+00
 5.30000000e+00,        +6.503916965781e-01,        +6.676295934985e-01,        +0.000000000000e+00,        +0.000000000000e+00
 5.38000000e+00,        +5.261001659543e-01,        +5.335009144559e-01,        +0.000000000000e+00,        +0.000000000000e+00
 5.46000000e+00,        +3.277970006051e-01,        +3.306653823564e-01,        +0.000000000000e+00,        +0.000000000000e+00
 5.54000000e+00,        +3.575986565696e-01,        +3.519508818132e-01,        +0.000000000000e+00,        +0.000000000000e+00
 5.62000000e+00,        +7.377388504409e-01,        +7.237491783296e-01,        +0.000000000000e+00,        +0.000000000000e+00
 5.70000000e+00,        +1.718718387708e+00,        +1.722319567878e+00,        +0.000000000000e+00,        +0.000000000000e+00
 5.78000000e+00,        +6.697315777005e-01,        +6.866806439061e-01,        +0.000000000000e+00,        +0.000000000000e+00
 5.86000000e+00,        +3.390798905219e-01,        +3.475909838784e-01,        +0.000000000000e+00,        +0.000000000000e+00
 5.94000000e+00,        +3.118070562032e-01,        +3.124415740760e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.02000000e+00,        +6.357714751590e-01,        +6.308552063123e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.10000000e+00,        +7.098811096728e-01,        +6.988015086429e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.18000000e+00,        +1.376716533512e+00,        +1.378214864705e+00,        +0.000000000000e+00,        +0.000000000000e+00
 6.26000000e+00,        +6.945982732786e-01,        +7.088625594756e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.34000000e+00,        +5.401890654208e-01,        +5.470800314865e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.42000000e+00,        +3.375302735117e-01,        +3.406168838971e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.50000000e+00,        +3.445857150287e-01,        +3.404757689489e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.58000000e+00,        +6.463482516666e-01,        +6.350601230996e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.66000000e+00,        +1.411409793721e+00,        +1.409131020106e+00,        +0.000000000000e+00,        +0.000000000000e+00
 6.74000000e+00,        +9.086481252724e-01,        +9.238125413507e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.82000000e+00,        +3.783573135668e-01,        +3.872747948836e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.90000000e+00,        +2.818771396865e-01,        +2.839973249075e-01,        +0.000000000000e+00,        +0.000000000000e+00
 6.98000000e+00,        +3.402583364772e-01,        +3.359274535896e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.06000000e+00,        +6.933085998744e-01,        +6.820934223611e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.14000000e+00,        +1.423364474662e+00,        +1.421065656854e+00,        +0.000000000000e+00,        +0.000000000000e+00
 7.22000000e+00,        +8.052559407229e-01,        +8.191129954415e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.30000000e+00,        +3.778440061476e-01,        +3.858870168385e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.38000000e+00,        +2.993738955864e-01,        +3.010193642347e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.46000000e+00,        +4.280893322548e-01,        +4.237270041412e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.54000000e+00,        +6.598859157531e-01,        +6.525847359993e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.62000000e+00,        +1.255537226571e+00,        +1.250087320745e+00,        +0.000000000000e+00,        +0.000000000000e+00
 7.70000000e+00,        +8.900290379747e-01,        +9.021329926096e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.78000000e+00,        +4.680585692778e-01,        +4.757480826616e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.86000000e+00,        +4.100021391476e-01,        +4.113638680332e-01,        +0.000000000000e+00,        +0.000000000000e+00
 7.94000000e+00,        +4.302038904575e-01,        +4.292848067138e-01,        +0.000000000000e+00,        +0.000000000000e+00
