        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 4.50000000e+00,        -1.447422002704e+00,        +5.948836788123e+00
 4.58000000e+00,        -2.383686825196e+00,        -7.631303550883e+00
 4.66000000e+00,        -3.794302329460e+00,        -4.323747884521e+01
 4.74000000e+00,        -1.002045064228e+01,        +1.766702485053e+02
 4.82000000e+00,        -2.350553426773e+00,        +5.303758687558e+01
 4.90000000e+00,        -1.606207317624e+00,        +2.144353243768e+01
 4.98000000e+00,        -1.430155661515e+00,        +5.786396747950e+00
 5.06000000e+00,        -1.883017971276e+00,        -1.463089273305e+01
 5.14000000e+00,        -4.533367806509e+00,        -5.687966131285e+01
 5.22000000e+00,        -1.084656956903e+01,        +1.488479971871e+02
 5.30000000e+00,        -2.462605597025e+00,        +4.965874090625e+01
 5.38000000e+00,        -2.147368275014e+00,        +1.868326626829e+01
 5.46000000e+00,        -1.483089113998e+00,        +6.703130966688e+00
 5.54000000e+00,        -1.864168511984e+00,        -1.410236561258e+01
 5.62000000e+00,        -3.687950032225e+00,        -4.905185403754e+01
 5.70000000e+00,        -8.331143493437e+00,        +1.603328424521e+02
 5.78000000e+00,        -2.183637083457e+00,        +5.232324843780e+01
 5.86000000e+00,        -1.357125495079e+00,        +2.149187809252e+01
 5.94000000e+00,        -1.465099779523e+00,        +1.606366694702e+00
 6.02000000e+00,        -3.194187109547e+00,        -1.558153967812e+01
 6.10000000e+00,        -4.150185258636e+00,        -4.321731867989e+01
 6.18000000e+00,        -1.234253363213e+01,        +1.660581719258e+02
 6.26000000e+00,        -2.874156896125e+00,        +5.136230085349e+01
 6.34000000e+00,        -2.515012732758e+00,        +2.151166725479e+01
 6.42000000e+00,        -1.505001963405e+00,        +8.514696416695e+00
 6.50000000e+00,        -1.723245961466e+00,        -1.181121519545e+01
 6.58000000e+00,        -3.268059436869e+00,        -4.283407269984e+01
 6.66000000e+00,        -1.142550820592e+01,        -1.591863887976e+02
 6.74000000e+00,        -2.963191714564e+00,        +6.459335071257e+01
 6.82000000e+00,        -1.305331928707e+00,        +2.636526621012e+01
 6.90000000e+00,        -1.221089772328e+00,        +6.072861057216e+00
 6.98000000e+00,        -1.566392425797e+00,        -1.314838833792e+01
 7.06000000e+00,        -3.072964527290e+00,        -4.512612977348e+01
 7.14000000e+00,        -1.144726329692e+01,        -1.573405650417e+02
 7.22000000e+00,        -2.965133391582e+00,        +6.217675874106e+01
 7.30000000e+00,        -1.409138721373e+00,        +2.571459934015e+01
 7.38000000e+00,        -1.309516079584e+00,        +5.089740222953e+00
 7.46000000e+00,        -2.079578300188e+00,        -1.505737147669e+01
 7.54000000e+00,        -3.919696460003e+00,        -3.289912475158e+01
 7.62000000e+00,        -1.097637614416e+01,        -1.125866707760e+02
 7.70000000e+00,        -3.942897002636e+00,        +6.722395259873e+01
 7.78000000e+00,        -1.711392578477e+00,        +2.724198687534e+01
 7.86000000e+00,        -1.984180178248e+00,        +4.847781101062e+00
 7.94000000e+00,        -2.209996508638e+00,        -3.390247219173e+00
